UAI_GES;UAI_COMPOSANTE;LIB_COMPOSANTE;LIB_INS;UAI_AFF;LIB_AFF;CODECOMMUNE;LIBCOMMUNE;CODEPOSTAL;ACADÉMIE;MINISTERETUTELLE;LIBMINISTERE;TYPEETA;CODEFORMATION;LIBFORMATION;CODESPÉCIALITÉ;LIBSPÉCIALITÉ;CODESPÉFORMATIONINITIALE;CODEMEF
0451602X;0451602X;CFA DE LA MOUILLERE;;0451602X;CFA DE LA MOUILLERE;45234;Orléans;45072;Orléans-Tours;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1666;Aménagements paysagers - en apprentissage;666;3712140121
0451602X;0451602X;CFA DE LA MOUILLERE;;0451602X;CFA DE LA MOUILLERE;45234;Orléans;45072;Orléans-Tours;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1659;Gestion et maitrise de l'eau - en apprentissage;659;3713430221
0450092F;0450092F;I.U.T d'Orléans;;0450092F;I.U.T d'Orléans;45234;Orléans;45067;Orléans-Tours;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1530;Génie mécanique et productique - en apprentissage;530;
0450807H;0450807H;CFA ORLEANS METROPOLE;;0450807H;CFA ORLEANS METROPOLE;45234;Orléans;45000;Orléans-Tours;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1442;Professions immobilières - en apprentissage;442;3113130921
0450810L;0450810L;BTP CFA LOIRET;;0450810L;BTP CFA LOIRET;45234;Orléans;45000;Orléans-Tours;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1360;Aménagement finition - en apprentissage;360;3112330421
0450809K;0450809K;CFA INTERPROF CH MET LOIRET;;0450809K;CFA INTERPROF CH MET LOIRET;45234;Orléans;45009;Orléans-Tours;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1366;Métiers de la coiffure - en apprentissage;366;3113360721
0211356K;0211356K;Lycée Professionnel Antoine;;0211356K;Lycée Professionnel Antoine;21166;Chenôve;21300;Dijon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;12425;Management opérationnel de la sécurité - en apprentissage;11425;
0801720K;0801720K;MFR de Flixecourt;;0801720K;MFR de Flixecourt;80318;Flixecourt;80420;Amiens;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0801720K;0801720K;MFR de Flixecourt;;0801720K;MFR de Flixecourt;80318;Flixecourt;80420;Amiens;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;43;BTS - Services;1367;Service et prestation des secteurs sanitaire et social - en apprentissage;367;3113300121
0801720K;0801720K;MFR de Flixecourt;;0801720K;MFR de Flixecourt;80318;Flixecourt;80420;Amiens;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0801720K;0801720K;MFR de Flixecourt;;0801720K;MFR de Flixecourt;80318;Flixecourt;80420;Amiens;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1648;Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;648;3712101421
0450808J;0450808J;CFA EST-LOIRET;;0450808J;CFA EST-LOIRET;45208;Montargis;45203;Orléans-Tours;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1472;Technico-commercial (BTS) - en apprentissage;472;3112000821
0161131T;0161131T;CFA CCI Charente Formation (site Cognac);;0161131T;CFA CCI Charente Formation (site Cognac);16102;Cognac;16100;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0160020K;0160020K;Lycée Jean Monnet;;0160020K;Lycée Jean Monnet;16102;Cognac;16121;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0160020K;0160020K;Lycée Jean Monnet;;0160020K;Lycée Jean Monnet;16102;Cognac;16121;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0160119T;0160119T;Lycée professionnel Louis Delage;;0160119T;Lycée professionnel Louis Delage;16102;Cognac;16100;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;62;Mention complémentaire;1629;Technicien en énergies renouvelables (option énergie électrique) - en apprentissage;629;2532270511
0161131T;0161131T;CFA CCI Charente Formation (site Cognac);;0161131T;CFA CCI Charente Formation (site Cognac);16102;Cognac;16100;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0161131T;0161131T;CFA CCI Charente Formation (site Cognac);;0161131T;CFA CCI Charente Formation (site Cognac);16102;Cognac;16100;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1439;Commerce international à référentiel européen - en apprentissage;439;3113121121
0161077J;0161077J;CFA Agricole de Charente;;0161077J;CFA Agricole de Charente;16113;La Couronne;16400;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1640;génie des équipements agricoles - en apprentissage;640;3712100721
0161077J;0161077J;CFA Agricole de Charente;;0161077J;CFA Agricole de Charente;16113;La Couronne;16400;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1653;Viticulture-Oenologie - en apprentissage;653;3712111221
0755372G;0161192J;CESI Ecole d'ingénieurs - La Couronne - Angoulême;Cycle préparatoire option Responsable de chantier BTP - en apprentissage;0161192J;CESI Ecole d'ingénieurs - La Couronne - Angoulême;16113;La Couronne;16400;Poitiers;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;Ecole;21;Formations  des écoles d'ingénieurs;1210;Cycle préparatoire option Responsable de chantier BTP - en apprentissage;210;
0142270S;0142270S;CFA MFR de Basse Normandie CFA AGRIC;;0142270S;CFA MFR de Basse Normandie CFA AGRIC;14396;Maltot;14930;Normandie;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1644;Technico-commercial (BTSA) - en apprentissage;644;3712101321
0142270S;0142270S;CFA MFR de Basse Normandie CFA AGRIC;;0142270S;CFA MFR de Basse Normandie CFA AGRIC;14396;Maltot;14930;Normandie;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1648;Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;648;3712101421
0170393K;0170393K;ENILIA-ENSMIC;;0170393K;ENILIA-ENSMIC;17434;Surgères;17700;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1656;Sciences et technologies des aliments spécialité Aliments et processus technologiques - en apprentissage;656;3712211321
0170393K;0170393K;ENILIA-ENSMIC;;0170393K;ENILIA-ENSMIC;17434;Surgères;17700;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1670;Sciences et technologies des aliments spécialité Produits laitiers - en apprentissage;670;3712211221
0170070J;0170070J;Lycée polyvalent Du Pays D'Aunis;;0170070J;Lycée polyvalent Du Pays D'Aunis;17434;Surgères;17700;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;62;Mention complémentaire;1652;Vendeur spécialisé en produits techniques pour l'habitat - en apprentissage;652;
0170070J;0170070J;Lycée polyvalent Du Pays D'Aunis;;0170070J;Lycée polyvalent Du Pays D'Aunis;17434;Surgères;17700;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;81;DMA;1811;Habitat décors et mobiliers. Spécialité : Ebénisterie - en apprentissage;811;3162300121
0170393K;0170393K;ENILIA-ENSMIC;;0170393K;ENILIA-ENSMIC;17434;Surgères;17700;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;42;BTS - Production;11426;Bioqualité - en apprentissage;10426;
0170393K;0170393K;ENILIA-ENSMIC;;0170393K;ENILIA-ENSMIC;17434;Surgères;17700;Poitiers;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1466;Sciences et technologies des aliments spécialité Produits céréaliers - en apprentissage;466;3712101221
0240026Y;0240026Y;Lycée Albert Claveille;;0240026Y;Lycée Albert Claveille;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1430;Moteur à combustion interne - en apprentissage;430;3112521421
0240026Y;0240026Y;Lycée Albert Claveille;;0240026Y;Lycée Albert Claveille;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11419;Architectures en Métal : conception et Réalisation - en apprentissage;10419;3112541621
0240026Y;0240026Y;Lycée Albert Claveille;;0240026Y;Lycée Albert Claveille;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11407;Maintenance des véhicules option voitures particulières - en apprentissage;10407;3112521521
0240026Y;0240026Y;Lycée Albert Claveille;;0240026Y;Lycée Albert Claveille;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0241242V;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0333357V;0241279K;I.U.T de Bordeaux - Site de Périgueux;;0241279K;I.U.T de Bordeaux - Site de Périgueux;24322;Périgueux;24019;Bordeaux;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1547;Techniques de commercialisation - en apprentissage;547;
0241242V;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0241242V;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;;0241242V;CFA CIFA PME PERIGUEUX - BOULAZAC;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0240026Y;0240026Y;Lycée Albert Claveille;;0240026Y;Lycée Albert Claveille;24322;Périgueux;24000;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0060920T;0060920T;FACULTE DES METIERS CFA MUNICIPAL DE LA VILLE DE CANNES;;0060920T;FACULTE DES METIERS CFA MUNICIPAL DE LA VILLE DE CANNES;06920;Cannes La Bocca;06150;Nice;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1464;Tourisme - en apprentissage;464;3113342621
0060920T;0060920T;FACULTE DES METIERS CFA MUNICIPAL DE LA VILLE DE CANNES;;0060920T;FACULTE DES METIERS CFA MUNICIPAL DE LA VILLE DE CANNES;06920;Cannes La Bocca;06150;Nice;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;11422;Management en hôtellerie restauration - en apprentissage;10422;3113342221
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;1464;Tourisme - en apprentissage;464;3113342621
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;42;BTS - Production;1406;Systèmes numériques - Option informatique et réseaux - en apprentissage;406;3112011221
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;1458;Services informatiques aux organisations - en apprentissage;458;3113260921
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;61;Mise à niveau;1612;Hôtellerie restauration - en apprentissage;612;3203342111
0772742M;0772742M;CFA UTEC;;0772742M;CFA UTEC;77999;Marne-la-Vallée;77436;Créteil;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0772468P;0772468P;CFA DESCARTES;;0772468P;CFA DESCARTES;77999;Marne-la-Vallée;77447;Créteil;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
9760125G;9760125G;Lycée Gustave Eiffel De Kahani;;9760125G;Lycée Gustave Eiffel De Kahani;98518;Kahani;97670;Mayotte;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11424;Gestion des transports et logistique associée - en apprentissage;10424;3113110321
0772347H;0772346G;I.U.T. de Sénart/Fontainebleau - site de Fontainebleau - UPEC;;0772346G;I.U.T. de Sénart/Fontainebleau - site de Fontainebleau - UPEC;77186;Fontainebleau;77300;Créteil;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1540;Gestion des entreprises et des administrations - en apprentissage;540;
0211981P;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;21515;Quetigny;21800;Dijon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1655;Analyses agricoles biologiques et biotechnologiques - en apprentissage;655;3712211121
0211981P;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;21515;Quetigny;21800;Dijon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1466;Sciences et technologies des aliments spécialité Produits céréaliers - en apprentissage;466;3712101221
0211799S;0211799S;CFA de Quetigny Plombières-lès-Dijon / Site de Quetigny;;0211799S;CFA de Quetigny Plombières-lès-Dijon / Site de Quetigny;21515;Quetigny;21800;Dijon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1666;Aménagements paysagers - en apprentissage;666;3712140121
0211981P;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;;0211981P;CFA de Quetigny Plombières-lès-Dijon / Antenne de Plombières;21515;Quetigny;21800;Dijon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1656;Sciences et technologies des aliments spécialité Aliments et processus technologiques - en apprentissage;656;3712211321
0211799S;0211799S;CFA de Quetigny Plombières-lès-Dijon / Site de Quetigny;;0211799S;CFA de Quetigny Plombières-lès-Dijon / Site de Quetigny;21515;Quetigny;21800;Dijon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;48;Certificat de Spécialisation Agricole;481011;Constructions paysagères - en apprentissage;480011;
0650005C;0650005C;Lycée Victor Duruy - CFA Académique Midi-Pyrénées;;0650005C;Lycée Victor Duruy - CFA Académique Midi-Pyrénées;65059;Bagnères-de-Bigorre;65200;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1404;Conception et Réalisation de Systèmes Automatiques - en apprentissage;404;3112011121
0650028C;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;65047;Aureilhan;65800;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1395;Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;395;3112270921
0650028C;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;65047;Aureilhan;65800;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;62;Mention complémentaire;1627;Technicien en énergies renouvelables (option thermique) - en apprentissage;627;2532270411
0650028C;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;65047;Aureilhan;65800;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;62;Mention complémentaire;1629;Technicien en énergies renouvelables (option énergie électrique) - en apprentissage;629;2532270511
0650028C;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;65047;Aureilhan;65800;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1389;Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;389;3112501121
0650028C;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;;0650028C;Lycée professionnel Sixte Vignon - CFA Académique Midi-Pyrénées;65047;Aureilhan;65800;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1422;Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;422;3112271121
0501614H;0501614H;CFA FIM site Saint Lo CFA;;0501614H;CFA FIM site Saint Lo CFA;50502;Saint-Lô;50000;Normandie;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0501614H;0501614H;CFA FIM site Saint Lo CFA;;0501614H;CFA FIM site Saint Lo CFA;50502;Saint-Lô;50000;Normandie;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11422;Management en hôtellerie restauration - en apprentissage;10422;3113342221
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;62;Mention complémentaire;1658;Technicien(ne) en soudage - en apprentissage;658;
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1406;Systèmes numériques - Option informatique et réseaux - en apprentissage;406;3112011221
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1472;Technico-commercial (BTS) - en apprentissage;472;3112000821
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1402;Conception de produits industriels - en apprentissage;402;3112000921
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0011073L;0011073L;MFREO La Vernée à Peronnas - CFA régional des MFR Rhône Alpes;;0011073L;MFREO La Vernée à Peronnas - CFA régional des MFR Rhône Alpes;01289;Péronnas;01960;Lyon;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1666;Aménagements paysagers - en apprentissage;666;3712140121
0010856A;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;;0010856A;CFA de l'Ain - AFPMA APPRENTISSAGE;01289;Péronnas;01960;Lyon;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0480009Z;0480009Z;Lycée Emile Peytavin;;0480009Z;Lycée Emile Peytavin;48095;Mende;48000;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0480009Z;0480009Z;Lycée Emile Peytavin;;0480009Z;Lycée Emile Peytavin;48095;Mende;48000;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0480714R;0480714R;CCI Sud Formation - CFA LR - Ets de Lozère;;0480714R;CCI Sud Formation - CFA LR - Ets de Lozère;48095;Mende;48000;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;68;Formation professionnelle;1673;Gestionnaire d'unité commerciale (option généraliste / option spécialisée) (Bac +2) - en apprentissage;673;
0480009Z;0480009Z;Lycée Emile Peytavin;;0480009Z;Lycée Emile Peytavin;48095;Mende;48000;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0480025S;0480025S;Lycée polyvalent Notre-Dame;;0480025S;Lycée polyvalent Notre-Dame;48095;Mende;48000;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0170052P;0170052P;Lycée professionnel Blaise Pascal;;0170052P;Lycée professionnel Blaise Pascal;17347;Saint-Jean-d'Angély;17415;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1364;Techniques et services en matériels agricoles - en apprentissage;364;3112521321
0170052P;0170052P;Lycée professionnel Blaise Pascal;;0170052P;Lycée professionnel Blaise Pascal;17347;Saint-Jean-d'Angély;17415;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11415;Maintenance des matériels de construction et de manutention - en apprentissage;10415;3112521821
0170051N;0170051N;Lycée Louis Audouin Dubreuil;;0170051N;Lycée Louis Audouin Dubreuil;17347;Saint-Jean-d'Angély;17415;Poitiers;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0241204D;0241204D;CFA INDUSTRIE - ANTENNE DE PERIGUEUX;;0241204D;CFA INDUSTRIE - ANTENNE DE PERIGUEUX;24138;Coulounieix-Chamiers;24660;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1472;Technico-commercial (BTS) - en apprentissage;472;3112000821
0241204D;0241204D;CFA INDUSTRIE - ANTENNE DE PERIGUEUX;;0241204D;CFA INDUSTRIE - ANTENNE DE PERIGUEUX;24138;Coulounieix-Chamiers;24660;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0241099P;0241099P;CFA AGRICOLE DE LA DORDOGNE;;0241099P;CFA AGRICOLE DE LA DORDOGNE;24138;Coulounieix-Chamiers;24660;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1666;Aménagements paysagers - en apprentissage;666;3712140121
0241099P;0241099P;CFA AGRICOLE DE LA DORDOGNE;;0241099P;CFA AGRICOLE DE LA DORDOGNE;24138;Coulounieix-Chamiers;24660;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1653;Viticulture-Oenologie - en apprentissage;653;3712111221
0241099P;0241099P;CFA AGRICOLE DE LA DORDOGNE;;0241099P;CFA AGRICOLE DE LA DORDOGNE;24138;Coulounieix-Chamiers;24660;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1648;Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;648;3712101421
0241099P;0241099P;CFA AGRICOLE DE LA DORDOGNE;;0241099P;CFA AGRICOLE DE LA DORDOGNE;24138;Coulounieix-Chamiers;24660;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1644;Technico-commercial (BTSA) - en apprentissage;644;3712101321
0241056T;0241056T;CFA GR EC PROF CCI PX;;0241056T;CFA GR EC PROF CCI PX;24053;Boulazac Isle Manoire;24750;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0241056T;0241056T;CFA GR EC PROF CCI PX;;0241056T;CFA GR EC PROF CCI PX;24053;Boulazac Isle Manoire;24750;Bordeaux;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0090656P;0090656P;CFA IFA 09 CCI DE L''ARIEGE;;0090656P;CFA IFA 09 CCI DE L''ARIEGE;09272;Saint-Paul-de-Jarrat;09000;Toulouse;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;68;Formation professionnelle;656001;Assistant Manager Tourisme Hôtellerie Restauration (Bac +2) - en apprentissage;655001;
