CodeRNCP;code;Libelle;;;
RNCP10171;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10172;125g;"Langages artificiels et informatique ; Linguistique et didactique des langues";;;
RNCP10172;136;Langues vivantes, civilisations étrangères et régionales;;;
RNCP10173;128;Droit, sciences politiques;;;
RNCP10174;125;Linguistique;;;
RNCP10174;131;Français, littérature et civilisation française;;;
RNCP10174;133;Musique, arts du spectacle;;;
RNCP10175;125;Linguistique;;;
RNCP10175;125g;"Langages artificiels et informatique ; Linguistique et didactique des langues";;;
RNCP1018;233;Bâtiment : finitions;;;
RNCP10180;201n;Conception en automatismes et robotique industriels, en informatique industrielle;;;
RNCP10180;250n;Spécialités pluritechnologiques (conception);;;
RNCP10180;255r;Contrôle, essais, maintenance en électricité, électronique;;;
RNCP10186;255;Electricite, électronique;;;
RNCP1019;252;Moteurs et mécanique auto;;;
RNCP10190;200;Technologies industrielles fondamentales;;;
RNCP10190;220;Spécialités pluritechnologiques des transformations;;;
RNCP10191;118;Sciences de la vie;;;
RNCP10191;221;Agro-alimentaire, alimentation, cuisine;;;
RNCP10191;222;Transformations chimiques et apparentées (y.c. industrie pharmaceutique);;;
RNCP10193;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP10194;251;Mécanique générale et de précision, usinage;;;
RNCP10194;200;Technologies industrielles fondamentales;;;
RNCP10194;201;Technologies de commandes des transformations industrielles;;;
RNCP10196;128;Droit, sciences politiques;;;
RNCP10198;120;Spécialités pluridisciplinaires, sciences humaines et droit;;;
RNCP10198;134g;"Art et patrimoine ; Art et communication";;;
RNCP10199;120b;Méthodes comparatives en sciences humaines;;;
RNCP10199;134;Autres disciplines artistiques et spécialités artistiques plurivalentes;;;
RNCP10199;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP1020;233;Bâtiment : finitions;;;
RNCP10200;12;Sciences humaines et droit;;;
RNCP10200;126f;Histoire application technologique;;;
RNCP10200;134g;"Art et patrimoine ; Art et communication";;;
RNCP10201;134g;"Art et patrimoine ; Art et communication";;;
RNCP10201;335p;Direction des centres de loisirs ou culturels;;;
RNCP10201;342n;Etudes et projets d expositions et de musées;;;
RNCP10202;131d;Littérature et philosophie;;;
RNCP10203;135;Langues et civilisations anciennes;;;
RNCP10203;131g;Littérature appliquée à la documentation, communication, lettres et enseignement;;;
RNCP10203;126;Histoire;;;
RNCP10204;135;Langues et civilisations anciennes;;;
RNCP10204;131;Français, littérature et civilisation française;;;
RNCP10204;333;Enseignement, formation;;;
RNCP10205;117;Sciences de la terre;;;
RNCP10205;231;Mines et carrières, génie civil, topographie;;;
RNCP10205;333;Enseignement, formation;;;
RNCP10206;127;Philosophie, éthique et théologie;;;
